Field1;Field2;Field3;Field4;Text;Text1;Text2
UNIVERSITAS INDONESIA;"Pd. Cina, Beji
Depok";95;1:20;A;"2.39 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";244 Jurusan
INSTITUT TEKNOLOGI BANDUNG;"Jl. Ganesha 10
Bandung";92;1:2;A;"4.75 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";148 Jurusan
UNIVERSITAS GADJAH MADA;"Bulaksumur, Caturtunggal, Depok
Sleman";89;1:27;A;"2.88 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";274 Jurusan
INSTITUT PERTANIAN BOGOR;"Jl. Raya Darmaga Kampus IPB Darmaga
Bogor";85;1:22;A;"2.59 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";200 Jurusan
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;"Kampus ITS Sukolilo
Surabaya";83;1:16;A;"3.55 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";64 Jurusan
UNIVERSITAS AIRLANGGA;"Jl. Airlangga No. 4 - 6, Airlangga, Gubeng, 
Surabaya";83;1:2;A;"4.47 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";170 Jurusan
UNIVERSITAS PADJADJARAN;"Jalan Dipati Ukur No 35
Bandung";82;1:16;A;"3.33 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";177 Jurusan
UNIVERSITAS LAMPUNG;"Jl Sumantri Brojonegoro No 1 Gedong Meneng
Bandar Lampung";81;1:19;A;"3.84 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";107 Jurusan
UNIVERSITAS DIPONEGORO;"Jl Prof H Soedarto, SH Kampus Tembalang
Semarang";81;1:26;A;"3.68 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";133 Jurusan
UNIVERSITAS SEBELAS MARET;"Jalan Ir Sutami 36-A Kentingan
Surakarta";81;1:18;A;"3.98 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";173 Jurusan
UNIVERSITAS INDONESIA;"Pd. Cina, Beji
									Depok";95;1:20;A;"2.39 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";244 Jurusan
INSTITUT TEKNOLOGI BANDUNG;"Jl. Ganesha 10
									Bandung";92;1:2;A;"4.75 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";148 Jurusan
UNIVERSITAS GADJAH MADA;"Bulaksumur, Caturtunggal, Depok
									Sleman";89;1:27;A;"2.88 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";274 Jurusan
INSTITUT PERTANIAN BOGOR;"Jl. Raya Darmaga Kampus IPB Darmaga
									Bogor";85;1:22;A;"2.59 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";200 Jurusan
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;"Kampus ITS Sukolilo
									Surabaya";83;1:16;A;"3.55 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";64 Jurusan
UNIVERSITAS AIRLANGGA;"Jl. Airlangga No. 4 - 6, Airlangga, Gubeng, 
									Surabaya";83;1:2;A;"4.47 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";170 Jurusan
UNIVERSITAS PADJADJARAN;"Jalan Dipati Ukur No 35
									Bandung";82;1:16;A;"3.33 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";177 Jurusan
UNIVERSITAS LAMPUNG;"Jl Sumantri Brojonegoro No 1 Gedong Meneng
									Bandar Lampung";81;1:19;A;"3.84 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";107 Jurusan
UNIVERSITAS DIPONEGORO;"Jl Prof H Soedarto, SH Kampus Tembalang
									Semarang";81;1:26;A;"3.68 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";133 Jurusan
UNIVERSITAS SEBELAS MARET;"Jalan Ir Sutami 36-A Kentingan
									Surakarta";81;1:18;A;"3.98 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";173 Jurusan
UNIVERSITAS BRAWIJAYA;"Jalan Veteran
									Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur";81;1:31;A;"5.44 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";160 Jurusan
UNIVERSITAS NEGERI YOGYAKARTA;"Kampus Karangmalang Yogyakarta
									Sleman";81;1:26;A;"2.74 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";136 Jurusan
UNIVERSITAS SYIAH KUALA;"Universitas Syiah Kuala  Jln. Teuku Nyak Arief Darussalam, Banda Aceh, Aceh, 2
									Banda Aceh";80;1:20;A;"3.43 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";130 Jurusan
UNIVERSITAS ANDALAS;"Kampus Universitas Andalas Limau Manis
									Padang";80;1:13;A;"2.95 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";117 Jurusan
UNIVERSITAS NEGERI MALANG;"Jalan Semarang 5 Malang
									Malang";80;1:12;A;"5.11 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";123 Jurusan
UNIVERSITAS PENDIDIKAN INDONESIA;"Jalan Dr Setiabudhi No 229
									Bandung";80;1:47;A;"3.94 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";174 Jurusan
UNIVERSITAS SRIWIJAYA;"Jl Raya Palembang Prabumulih Km. 32 Inderalaya Ogan Komering Ilir
									Palembang";80;1:21;A;"3.82 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";119 Jurusan
UNIVERSITAS NEGERI SEMARANG;"Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati
									Semarang";80;1:23;A;"4.54 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";94 Jurusan
UNIVERSITAS HASANUDDIN;"Jl. Perintis Kemerdekaan Km.10 Makassar, 90245
Sulawesi Selatan
									Makassar";80;1:1;A;"2.08 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";110 Jurusan
UNIVERSITAS MUHAMMADIYAH MALANG;"Jalan Raya Tlogomas No 246
									Malang";79;1:6;A;"100.00 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";60 Jurusan
UNIVERSITAS GUNADARMA;"Jalan Margonda Raya 100 Pondok Cina
									Depok";79;1:33;A;;33 Jurusan
UNIVERSITAS ISLAM INDONESIA;"Jalan Kaliurang Km 14,5 Sleman
									Yogyakarta";79;1:55;A;;49 Jurusan
UNIVERSITAS KRISTEN PETRA;"Jl Siwalankerto 121-131
									Surabaya";79;1:28;A;;15 Jurusan
UNIVERSITAS SUMATERA UTARA;"Jalan Dr T Mansur No 9 Padang Bulan
									Medan";79;1:26;A;"3.47 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";158 Jurusan
UNIVERSITAS BENGKULU;"Jl. W.R. Supratman, Kandang Limun, Muara Bangka Hulu
									Bengkulu";79;1:24;B;"5.01 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";35 Jurusan
UNIVERSITAS RIAU;"Kampus Bina Widya Simpang Baru
									Pekanbaru";79;1:28;A;"7.53 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";92 Jurusan
UNIVERSITAS AHMAD DAHLAN;"Jalan Kapas No 9 Semaki
									Yogyakarta";78;1:39;A;;41 Jurusan
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA;"Jl Lingkar Barat Tamantirto Kasihan Bantul Yogyakarta
									Bantul";78;1:55;A;;34 Jurusan
UNIVERSITAS MERCU BUANA;"Jl Raya Meruya Selatan Kembangan
									Jakarta Barat";78;1:40;A;;22 Jurusan
UNIVERSITAS TRISAKTI;"Jalan Kyai Tapa No 1 Grogol
									Jakarta Barat";78;1:26;A;;47 Jurusan
UNIVERSITAS UDAYANA;"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali
									Badung";78;1:12;A;"5.12 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";112 Jurusan
UNIVERSITAS NEGERI MEDAN;"Jalan Willem Iskandar Pasar V Medan Estate
									Medan";77;1:20;A;"3.42 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";76 Jurusan
UNIVERSITAS JENDERAL SOEDIRMAN;"Jl Prof Dr HR Boenyamin 708
									Banyumas";76;1:16;A;"2.72 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";78 Jurusan
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA;"Jalan Marsda Adisucipto No 1
									Sleman";76;1:31;A;"4.38 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";53 Jurusan
UNIVERSITAS BINA NUSANTARA;"Jl KH Syahdan No 9 Palmerah
									Jakarta Barat";76;1:28;A;;34 Jurusan
